"Activo","Puede publicar","Descripción","Unidad de medida","Unidad de medida compra","Descripción de compra","Código de barras","Impuestos del cliente","Impuestos de proveedor","Cantidad a mano","Coste","Nombre","Puede ser comprado","Categoría del Producto","Referencia interna","Tipo de producto","Precio de venta","Puede ser vendido"
"True","True","Origen= ;Visible=Si;Unitat_Venda=;Unitat_Compra=;Nom_Compra=Pizza bolonyesa vegetal 440 gr, FUNDACIO ONYAR;Multiplicador=1;","Unidades","Unidades","Pizza bolonyesa vegetal 440 gr, FUNDACIO ONYAR","8436553100539.0","IVA 10% (Bienes)","21% IVA soportado (bienes corrientes)","0.0","4.16","Pizza bolonyesa vegetal 440 gr, FUNDACIO ONYAR","True","Sin categoría","ony0016","Almacenable","5.53","True"
"True","True","Origen= ;Visible=Si;Unitat_Venda=;Unitat_Compra=;Nom_Compra= Pizza 4 formatges, ONYAR;Multiplicador=1;","Unidades","Unidades"," Pizza 4 formatges, ONYAR","","IVA 10% (Bienes)","21% IVA soportado (bienes corrientes)","1.0","4.55","Pizza 4 formatges 380 gr, ONYAR","True","Sin categoría","ony0017","Almacenable","6.05","True"
"True","True","Origen= ;Visible=Si;Unitat_Venda=unitat;Unitat_Compra=unitat;Nom_Compra=Pizza margarita d&#39;espelta integral340 gr, FUNDACIO ONYAR;Multiplicador=1;","Unidades","Unidades","Pizza margarita d&#39","8436553100584.0","IVA 10% (Bienes)","21% IVA soportado (bienes corrientes)","0.0","4.03","Pizza margarita d&#39;espelta integral 340 gr , ONYAR","True","Sin categoría","ony0018","Almacenable","5.36","True"
"False","False","Origen= ;Visible=Si;Unitat_Venda=;Unitat_Compra=;Nom_Compra=Base de pizza d&#39;espelta integral (180 gr x 2 unit), ONYAR;Multiplicador=1;","Unidades","Unidades","Base de pizza d&#39","8436553100591.0","IVA 10% (Bienes)","21% IVA soportado (bienes corrientes)","0.0","2.88","Base de pizza d&#39;espelta integral (180 gr x 2 unit), ONYAR","True","Sin categoría","ony0019","Almacenable","3.65","True"
"True","True","Origen= ;Visible=Si;Unitat_Venda=kg;Unitat_Compra=kg;Nom_Compra=Pizza 4 estacions 410 gr, ONYAR;Multiplicador=1;","kg","kg","Pizza 4 estacions 410 gr, ONYAR","8436553100393.0","IVA 10% (Bienes)","21% IVA soportado (bienes corrientes)","5.0","4.29","Pizza 4 estacions 410 gr, ONYAR","True","Sin categoría","ony0020","Almacenable","5.71","True"
"False","False","Origen= ;Visible=no;Unitat_Venda=dotzena;Unitat_Compra=dotzena;Nom_Compra=Ous DOTZENA BIOANDALUS, UNITAT;Multiplicador=1;","dotzena","dotzena","Ous DOTZENA BIOANDALUS, UNITAT","","IVA 4% (Bienes)","21% IVA soportado (bienes corrientes)","20.0","2.8335","Ous DOTZENA BIOANDALUS, UNITAT","True","Sin categoría","ous0001","Almacenable","3.87","True"
"True","True","Origen=;Visible=Si;Unitat_Venda=;Unitat_Compra=;Nom_Compra=Pa de d,espelta integral 500 gr motllo FORN PARÍS;Multiplicador=1;","Unidades","Unidades","Pa de d,espelta integral 500 gr motllo FORN PARÍS","","IVA 4% (Bienes)","21% IVA soportado (bienes corrientes)","0.0","2.883452","Pa de espelta integral 500 gr motllo, FORN PARÍS","True","Sin categoría","par0001","Almacenable","3.84","True"
"True","True","Origen=;Visible=Si;Unitat_Venda=;Unitat_Compra=;Nom_Compra=Pa d,espelta integral 400 gr rodó FORN PARÍS;Multiplicador=1;","Unidades","Unidades","Pa d,espelta integral 400 gr rodó FORN PARÍS","","IVA 4% (Bienes)","21% IVA soportado (bienes corrientes)","0.0","2.4082068133333","Pa espelta integral 400 gr rodó, FORN PARÍS","True","Sin categoría","par0002","Almacenable","3.06","True"
"True","True","Origen=;Visible=Si;Unitat_Venda=kg;Unitat_Compra=kg;Nom_Compra=Pa d,espelta integral 1 kg rodó FORN PARÍS;Multiplicador=1;","kg","kg","Pa d,espelta integral 1 kg rodó FORN PARÍS","","IVA 4% (Bienes)","21% IVA soportado (bienes corrientes)","0.0","4.81","Pa d&#39;espelta integral 1 kg rodó, FORN PARÍS","True","Sin categoría","par0003","Almacenable","6.97","True"
"True","True","Origen=;Visible=Si;Unitat_Venda=unitat;Unitat_Compra=unitat;Nom_Compra=Pa de Kamut 500 gr motllo FORN PARÍS;Multiplicador=1;","Unidades","Unidades","Pa de Kamut 500 gr motllo FORN PARÍS","","IVA 4% (Bienes)","21% IVA soportado (bienes corrientes)","0.0","2.889","Pa de Kamut 500 gr motllo, FORN PARÍS","True","Sin categoría","par0004","Almacenable","3.85","True"
"False","False","Origen=;Visible=Si;Unitat_Venda=unitat;Unitat_Compra=unitat;Nom_Compra=Pa de Kamut 400 gr rodó FORN PARÍS;Multiplicador=1;","Unidades","Unidades","Pa de Kamut 400 gr rodó FORN PARÍS","","IVA 4% (Bienes)","21% IVA soportado (bienes corrientes)","0.0","2.88","Pa de Kamut 400 gr rodó, FORN PARÍS","True","Sin categoría","par0005","Almacenable","3.06","True"
"False","False","Origen=;Visible=Si;Unitat_Venda=kg;Unitat_Compra=kg;Nom_Compra=Pa de Kamut 1 kg rodó FORN PARÍS;Multiplicador=1;","kg","kg","Pa de Kamut 1 kg rodó FORN PARÍS","","IVA 4% (Bienes)","21% IVA soportado (bienes corrientes)","0.0","3.30875","Pa de Kamut 1 kg rodó, FORN PARÍS","True","Sin categoría","par0006","Almacenable","6.44","True"
"True","True","Origen=;Visible=Si;Unitat_Venda=;Unitat_Compra=;Nom_Compra=P de fajol 500 gr motllo FORN PARÍS;Multiplicador=1;","Unidades","Unidades","P de fajol 500 gr motllo FORN PARÍS","","IVA 4% (Bienes)","21% IVA soportado (bienes corrientes)","0.0","2.8799473684211","P de fajol 500 gr motllo, FORN PARÍS","True","Sin categoría","par0007","Almacenable","3.8","True"
"True","True","Origen=;Visible=Si;Unitat_Venda=kg;Unitat_Compra=kg;Nom_Compra=Pa de fajol 1 kg rodó FORN PARÍS;Multiplicador=1;","kg","kg","Pa de fajol 1 kg rodó FORN PARÍS","","IVA 4% (Bienes)","21% IVA soportado (bienes corrientes)","0.0","4.8579310344828","Pa de fajol 1 kg rodó, FORN PARÍS","True","Sin categoría","par0008","Almacenable","6.44","True"
"True","True","Origen=;Visible=Si;Unitat_Venda=;Unitat_Compra=;Nom_Compra=Pa d,espelta i cúrcuma 500 gr motllo FORN PARÍS;Multiplicador=1;","Unidades","Unidades","Pa d,espelta i cúrcuma 500 gr motllo FORN PARÍS","","IVA 10% (Bienes)","21% IVA soportado (bienes corrientes)","6.0","2.73","Pa espelta i cúrcuma 500 gr motllo, FORN PARÍS","True","Sin categoría","par0009","Almacenable","3.84","True"
"True","True","Origen=;Visible=Si;Unitat_Venda=;Unitat_Compra=;Nom_Compra=Pa de sègol 500 gr motllo FORN PARÍS;Multiplicador=1;","Unidades","Unidades","Pa de sègol 500 gr motllo FORN PARÍS","","IVA 4% (Bienes)","21% IVA soportado (bienes corrientes)","0.0","2.88478","Pa de sègol 500 gr motllo, FORN PARÍS","True","Sin categoría","par0010","Almacenable","3.84","True"
"True","True","Origen=;Visible=Si;Unitat_Venda=;Unitat_Compra=;Nom_Compra=Magdalenes de fajol o espelta (bossa 6 unit) FORN PARÍS;Multiplicador=1;","Unidades","Unidades","Magdalenes de fajol o espelta (bossa 6 unit) FORN PARÍS","","IVA 10% (Bienes)","21% IVA soportado (bienes corrientes)","0.0","1.3604554455446","Magdalenes de fajol o espelta (bossa 6 unit), FORN PARÍS","True","Sin categoría","par0011","Almacenable","1.73","True"
