"factualizado","bloqueado","equivalencia","idsubcuentairpfcom","idsubcuentacom","stockmin","observaciones","codbarras","codimpuesto","stockfis","stockmax","costemedio","preciocoste","tipocodbarras","nostock","codsubcuentacom","descripcion","codsubcuentairpfcom","secompra","codfamilia","codfabricante","imagen","controlstock","referencia","tipo","pvp","sevende","publico","partnumber","trazabilidad"
"2018-06-25","1",NULL,NULL,NULL,"0","Origen= ;Visible=No;Unitat_Venda=;Unitat_Compra=;Nom_Compra=Cervesa Buckwheat 33 cl;Multiplicador=1;",,"IVA21","0","0","1.79","0","Code39","0",NULL,"Cervesa Buckwheat 33 cl",NULL,"1","13","alternat",NULL,"1","alt0020",NULL,"2.24","1","0",,"0"
"2018-06-25","1",NULL,NULL,NULL,"0","Origen= ;Visible=No;Unitat_Venda=;Unitat_Compra=;Nom_Compra=Sabó en pastilla de cogombre100 gr, ALTERNATIVA 3;Multiplicador=1;","8435030573170","IVA21","0","0","1.8440571428571","0","Code39","0",NULL,"Sabó en pastilla de cogombre100 gr, ALTERNATIVA 3",NULL,"1","9","alternat",NULL,"1","alt0021",NULL,"2.33","0","0",,"0"
"2018-06-25","1",NULL,NULL,NULL,"0","Origen= ;Visible=No;Unitat_Venda=;Unitat_Compra=;Nom_Compra=Sabó en pastilla de mango 100 gr, ALTERNATIVA 3;Multiplicador=1;",,"IVA21","0","0","1.8440571428571","0","Code39","0",NULL,"Sabó en pastilla de mango 100 gr, ALTERNATIVA 3",NULL,"1","9","alternat",NULL,"1","alt0022",NULL,"2.33","0","0",,"0"
"2018-06-25","1",NULL,NULL,NULL,"0","Origen= ;Visible=No;Unitat_Venda=;Unitat_Compra=;Nom_Compra=Sabó en pastilla de espigol 100 gr, ALTERNATIVA 3;Multiplicador=1;","8435030573224","IVA21","0","0","1.8440571428571","0","Code39","0",NULL,"Sabó en pastilla de espigol 100 gr, ALTERNATIVA 3",NULL,"1","9","alternat",NULL,"1","alt0023",NULL,"2.33","0","0",,"0"
"2018-06-25","1",NULL,NULL,NULL,"0","Origen=;Visible=No;Unitat_Venda=;Unitat_Compra=;Nom_Compra=Fideus de quinoa nº0 500 gr, ALTERNATIVA 3;Multiplicador=1;","8435030572302","IVA10","0","0","2.58","2.58","Code39","0",NULL,"Fideus de quinoa nº0 500 gr, ALTERNATIVA 3",NULL,"1","2","alternat",NULL,"1","alt0024",NULL,"3.21","1","0",,"0"
"2018-06-25","1",NULL,NULL,NULL,"0","Origen=;Visible=Si;Unitat_Venda=;Unitat_Compra=;Nom_Compra=Macarrons de quinoa 500 gr, ALTERNATIVA 3;Multiplicador=1;",,"IVA10","0","0","2.58","2.58","Code39","0",NULL,"Macarrons de quinoa 500 gr, ALTERNATIVA 3",NULL,"1","2","alternat",NULL,"1","alt0025",NULL,"3.21","1","0",,"0"
"2022-03-15","0",NULL,NULL,NULL,"0","Origen= ;Visible=Si;Unitat_Venda=;Unitat_Compra=;Nom_Compra=Xocolata amb nibs de cacau 70%, ALTERNATIVA 3;Multiplicador=1;","8435030574511","IVA10","9","0","1.93","0","Code39","0",NULL,"Xocolata amb nibs de cacau 70%, ALTERNATIVA 3",NULL,"1","6","alternat",NULL,"1","alt0026",NULL,"2.47","1","0",,"0"
"2021-12-14","0",NULL,NULL,NULL,"0","Origen= ;Visible=Si;Unitat_Venda=;Unitat_Compra=;Nom_Compra=Xocolata negra 65% Equador, ALTERNATIVA 3;Multiplicador=1;","8435030573910","IVA10","15","0","1.97","0","Code39","0",NULL,"Xocolata negra 65% Equador, ALTERNATIVA 3",NULL,"1","6","alternat",NULL,"1","alt0027",NULL,"2.44","1","0",,"0"
"2021-12-14","0",NULL,NULL,NULL,"0","Origen= ;Visible=Si;Unitat_Venda=;Unitat_Compra=;Nom_Compra=Capsules cafè compostables INTENSO 10 unit, ALTERNATIVA 3;Multiplicador=1;","8435030574498","IVA10","6","0","2.31","0","Code39","0",NULL,"Capsules cafè compostables INTENSO 10 unit, ALTERNATIVA 3",NULL,"1","6","alternat",NULL,"1","alt0028",NULL,"2.96","1","0",,"0"
"2021-12-14","0",NULL,NULL,NULL,"0","Origen=;Visible=Si;Unitat_Venda=;Unitat_Compra=;Nom_Compra=Capsules cafè compostables ARABICA 10 unit, ALTERNATIVA 3;Multiplicador=1;","8435030574481","IVA10","14","0","2.42","0","Code39","0",NULL,"Capsules cafè compostables ARABICA 10 unit, ALTERNATIVA 3",NULL,"1","6","alternat",NULL,"1","alt0029",NULL,"3.1","1","0",,"0"
